ring_id,datetime_trunc,year,reporting_type,dt,time,layer_1_vout,layer_1_concentration,layer_1_setpoint,layer_2_vout,layer_2_concentration,layer_2_setpoint,wind_speed,wind_direction,sector,O3_on,leaf_wetness,file_source,number_of_records,datetime,Range_flag,evaluator,replacement_value,explanation
0,7/26/2019 0:41,2019,M,7/26/2019,0:41:19,0,1283,600,0,0,0,0,60,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 0:41,layer_1_concentration,YF,1283,real high values at night
0,7/26/2019 0:42,2019,M,7/26/2019,0:42:19,0,1336,600,0,0,0,0,60,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 0:42,layer_1_concentration,YF,1336,real high values at night
0,7/26/2019 0:43,2019,M,7/26/2019,0:43:19,0,1211,600,0,0,0,0,60,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 0:43,layer_1_concentration,YF,1211,real high values at night
0,7/26/2019 0:44,2019,M,7/26/2019,0:44:19,0,1196,600,0,0,0,0,60,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 0:44,layer_1_concentration,YF,1196,real high values at night
0,7/26/2019 1:43,2019,M,7/26/2019,1:43:19,0,1016,600,0,0,0,0,15,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 1:43,layer_1_concentration,YF,1016,real high values at night
0,7/26/2019 2:25,2019,M,7/26/2019,2:25:19,0,1001,600,0,0,0,0,75,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 2:25,layer_1_concentration,YF,1001,real high values at night
0,7/26/2019 3:02,2019,M,7/26/2019,3:02:19,0,1048,600,0,0,0,0,84,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 3:02,layer_1_concentration,YF,1048,real high values at night
0,7/26/2019 3:10,2019,M,7/26/2019,3:10:19,0,1023,600,0,0,0,0,66,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 3:10,layer_1_concentration,YF,1023,real high values at night
0,7/26/2019 3:30,2019,M,7/26/2019,3:30:19,0,1078,600,0,0,0,0,11,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 3:30,layer_1_concentration,YF,1078,real high values at night
0,7/26/2019 3:58,2019,M,7/26/2019,3:58:19,0,1034,600,0,0,0,0,75,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 3:58,layer_1_concentration,YF,1034,real high values at night
